MN_ID,MaterialName,ShortName,MNDate,MNMDate,MN_Status,LastEditDate,ExpDays,ShortCode,ProductCode,LID,Margin,SetZero,GSTID,GSTValue,GSTIDTemp,GSTValueTemp,RECENTCOSTPRICE,RECENTSALESPRICE,DiscountStatus,MRP
12,water box 300ml,300mlவாட்டர்box,2022-03-07 11:21:00,2022-03-07 11:21:00,A,2022-05-07 13:31:13.360,NULL,,12,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,170.00
13,500ml,500ml,2022-03-07 11:55:00,2022-03-07 11:55:00,A,2022-03-07 11:55:27.753,0.00,None,13,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
14,500ml waterbox,500ml வாட்டர்box,2022-03-07 11:56:00,2022-03-07 11:56:00,A,2022-03-07 11:59:58.790,NULL,,14,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,150.00
15,waterbox,waterbox,2022-03-07 12:15:00,2022-03-07 12:15:00,A,2022-03-07 12:15:11.607,0.00,None,15,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
16,waterbox500ml,500mlவாட்டர்box,2022-03-07 12:15:00,2022-03-07 12:15:00,A,2022-03-07 12:18:12.463,NULL,,16,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,150.00
17,waterbox1ltr,1ltrவாட்டர்box,2022-03-07 12:50:00,2022-03-07 12:50:00,A,2022-03-07 12:53:54.310,NULL,,17,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,160.00
18,200ml,200ml,2022-03-07 15:42:00,2022-03-07 15:42:00,A,2022-03-07 15:41:54.640,0.00,None,18,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
19,cd Rs10 localbrand 200ml,10Rsகூல்டிரிங்ஸ் 1k,2022-03-07 15:45:00,2022-03-07 15:45:00,A,2022-03-12 12:15:00.007,NULL,,19,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,300.00
20,bovonto,bovonto,2022-03-07 16:57:00,2022-03-07 16:57:00,A,2022-03-07 16:57:06.247,0.00,None,20,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
21,cd bovonto1.5ltr,1.5-ltrபவண்டோ 1k,2022-03-07 16:59:00,2022-03-07 16:59:00,A,2022-03-07 21:06:38.560,NULL,,21,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,850.00
22,cd bovonto500ml,பவண்டோ500ml 1k,2022-03-07 17:08:00,2022-03-07 17:08:00,A,2022-04-17 09:12:50.643,NULL,,22,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,800.00
23,cd silce1.5ltr,cd silce1.5ltr,2022-03-07 17:15:00,2022-03-07 17:15:00,A,2022-03-07 17:14:43.500,0.00,None,23,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
24,cd silce1.250ml,cd silce1.250ml,2022-03-07 17:18:00,2022-03-07 17:18:00,A,2022-03-07 17:17:38.783,0.00,None,24,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
25,cd 7up2.250ltr,2.25ltr7அப் 1k,2022-03-07 17:20:00,2022-03-07 17:20:00,A,2022-03-22 11:21:41.190,NULL,,25,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,900.00
26,cd silce1.250ltr,ஸ்லைஸ்1.25ltr 1k,2022-03-07 17:20:00,2022-03-07 17:20:00,A,2022-03-07 17:50:46.157,NULL,,26,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,780.00
27,cd 7up1.250ltr,cd 7up1.250ltr,2022-03-07 17:28:00,2022-03-07 17:28:00,A,2022-03-07 17:27:47.550,0.00,None,27,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
28,cd 7up750ml,750ml 7அப் 1k,2022-03-07 17:32:00,2022-03-07 17:32:00,A,2022-03-09 19:48:16.113,NULL,,28,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,912.00
29,cd 7up1.25ltr,1.25ltr 7அப் 1k,2022-03-07 17:37:00,2022-03-07 17:37:00,A,2022-03-07 17:54:29.557,NULL,,29,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,584.00
30,cd 250ml 7up box,cd 250 7அப் box,2022-03-07 17:44:00,2022-03-07 17:44:00,A,2022-03-07 18:36:03.900,NULL,,30,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,700.00
31,cd 250ml pepsi 1k,250ml பெப்ஸி1k,2022-03-07 18:07:00,2022-03-07 18:07:00,A,2022-03-08 12:56:31.980,NULL,,31,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,600.00
32,cd 250ml 7up case,cd 250ml 7up case,2022-03-07 18:07:00,2022-03-07 18:07:00,A,2022-03-07 18:07:04.490,0.00,None,32,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
33,cd 250ml 7up kase,cd 250ml 7up kase,2022-03-07 18:08:00,2022-03-07 18:08:00,A,2022-03-10 11:29:08.687,NULL,,33,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,600.00
34,cd silce300ml box,cd silce300ml box,2022-03-07 18:33:00,2022-03-07 18:33:00,A,2022-03-07 18:32:58.833,0.00,None,34,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
35,cd slice10Rs tin,cd slice10Rs tin,2022-03-07 18:42:00,2022-03-07 18:42:00,A,2022-03-07 18:42:21.150,0.00,None,35,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
36,cd slice10Rs tin box,cd slice10Rs tin box,2022-03-07 18:46:00,2022-03-07 18:46:00,A,2022-04-03 15:59:50.433,NULL,,36,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,400.00
37,cd cavinsmilkshake,cd cavinsmilkshake,2022-03-07 18:59:00,2022-03-07 18:59:00,A,2022-03-07 18:59:14.083,0.00,None,37,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
38,cd cavinsmilkshake Rs30,cd cavinsmilkshake Rs30,2022-03-07 19:01:00,2022-03-07 19:01:00,A,2022-03-07 19:00:54.420,0.00,None,38,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
39,cd slice600ml kase,cd slice600ml kase,2022-03-07 19:02:00,2022-03-07 19:02:00,A,2022-03-07 19:06:05.933,NULL,,39,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,960.00
40,cd cavinsmilkshake Rs30 1 box,Cd கவின்ஸ் மில்க்ஷேக்Rs30 box1,2022-03-07 19:03:00,2022-03-07 19:03:00,A,2022-04-17 09:12:50.647,NULL,,40,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,900.00
41,cd vibro500ml,cd விப்ரோ500ml,2022-03-07 19:13:00,2022-03-07 19:13:00,A,2022-03-07 19:15:01.520,NULL,,41,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,800.00
42,manjal thool 100g,100g சக்தி மஞ்சள்தூள் ,2022-03-07 20:21:00,2022-03-07 20:21:00,A,2025-09-02 15:18:10.923,NULL,,42,0,0.00,0,0,0.00,0,0.00,23.50,29.00,1,0.00
43,manjal thool500g,500g மஞ்சள்தூள்,2022-03-07 20:24:00,2022-03-07 20:24:00,A,2025-07-15 11:57:42.037,NULL,,43,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
44,chikkan masala50gm,50gm சில்லி சிக்கென்,2022-03-07 20:28:00,2022-03-07 20:28:00,A,2022-03-14 16:07:01.000,NULL,,44,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,34.50
45,chikkan masala50g,50g சிக்கன் மசலா சக்தி,2022-03-07 20:30:00,2022-03-07 20:30:00,A,2024-04-09 16:46:03.833,NULL,,45,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,28.00
46,mattan masala 50g,50g சக்தி மட்டன் மசாலா,2022-03-07 20:34:00,2022-03-07 20:34:00,A,2026-01-29 14:12:04.750,NULL,,46,0,0.00,0,0,0.00,0,0.00,19.25,25.00,1,0.00
47,meen kuzhampu masala 50g,50g மீன் குழம்பு மசாலா சக்தி,2022-03-07 20:38:00,2022-03-07 20:38:00,A,2026-01-20 13:17:16.670,NULL,,47,0,0.00,0,0,0.00,0,0.00,16.50,22.00,1,28.00
48,meen varuval masala 50g,50g மீன் வருவல் மசாலா சக்தி,2022-03-07 20:41:00,2022-03-07 20:41:00,A,2026-01-27 12:20:10.097,NULL,,48,0,0.00,0,0,0.00,0,0.00,20.75,26.00,1,33.00
49,karam மசாலா50g,50g கரம் மசாலா சக்தி,2022-03-07 20:55:00,2022-03-07 20:55:00,A,2024-04-09 16:46:03.833,NULL,,49,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,38.00
50,cd 250ml 7up tinbox,cd 250ml 7up tinbox,2022-03-07 21:01:00,2022-03-07 21:01:00,A,2022-03-07 21:01:40.030,NULL,,50,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,700.00
51,kari masala50g,50g கறிமசாலா,2022-03-07 21:03:00,2022-03-07 21:03:00,A,2025-07-15 16:14:35.613,NULL,,51,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,31.00
52,milagai thool 50g,50gமிளகாய்தூள்,2022-03-07 21:14:00,2022-03-07 21:14:00,A,2022-07-17 12:59:50.117,NULL,,52,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,27.50
53,malli thool 5og,50g மல்லித்தூள்,2022-03-07 21:17:00,2022-03-07 21:17:00,A,2024-04-09 16:37:03.947,NULL,,53,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,18.00
54,sannnaa masala 50g,50g சன்னா மசாலா சக்தி,2022-03-07 21:19:00,2022-03-07 21:19:00,A,2026-01-29 14:42:24.540,NULL,,54,0,0.00,0,0,0.00,0,0.00,17.00,22.00,1,30.00
55,kuzhampu மி.தூள்,kuzhampu மி.தூள்,2022-03-07 21:35:00,2022-03-07 21:35:00,A,2022-03-07 21:35:28.267,0.00,None,55,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
56,kuzhampu மி.தூள்50g,50g ஆச்சி குழம்பு மிளாகாய் தூள்,2022-03-07 21:36:00,2022-03-07 21:36:00,A,2026-01-29 20:26:38.113,NULL,,56,0,0.00,0,0,0.00,0,0.00,14.70,18.00,1,22.00
57,kuzhampu,kuzhampu,2022-03-07 21:39:00,2022-03-07 21:39:00,A,2022-03-07 21:38:41.530,0.00,None,57,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
58,kuzhampu மி.தூள்500g,500g ஆச்சி குழம்பு மிளாகாய் தூள்,2022-03-07 21:40:00,2022-03-07 21:40:00,A,2026-01-29 18:11:08.760,NULL,,58,0,0.00,0,0,0.00,0,0.00,160.00,190.00,1,0.00
59,anil atta pai,500g அணில் ஆட்டா pkt,2022-03-08 09:52:00,2022-03-08 09:52:00,A,2022-11-09 12:56:29.223,NULL,,59,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,30.00
60,asirvad atta1/2 pai,1/2kg ஆசிர்வட் ஆட்டா pkt ,2022-03-08 09:59:00,2022-03-08 09:59:00,A,2025-01-27 19:18:40.870,NULL,,60,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,37.00
61,asirvad atta 1kg pai,1kg ஆசிர்வட் ஆட்டா pkt,2022-03-08 10:03:00,2022-03-08 10:03:00,A,2025-11-01 10:21:40.157,NULL,,61,0,0.00,0,0,0.00,0,0.00,61.23,67.00,1,73.00
62,maithaa pai,maithaa pai,2022-03-08 10:16:00,2022-03-08 10:16:00,A,2022-03-08 10:16:11.047,0.00,None,62,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
63,maithaa pai 10g,1௦gஅணில் மைதா பை,2022-03-08 10:19:00,2022-03-08 10:19:00,A,2022-03-08 10:20:03.160,NULL,,63,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
64,ravai 10kg pai,10kg அணில் ரவை பை,2022-03-08 10:21:00,2022-03-08 10:21:00,A,2022-03-08 10:23:26.620,NULL,,64,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
65,anil samba pai,அணில் சம்பா பை,2022-03-08 10:26:00,2022-03-08 10:26:00,A,2022-03-08 10:26:47.613,NULL,,65,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
66,semiyaa pai,அணில்சேமியா பை,2022-03-08 10:28:00,2022-03-08 10:28:00,A,2022-03-20 10:33:17.730,NULL,,66,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,360.00
67,golcatesalt Rs10,golcatesalt Rs10,2022-03-08 10:29:00,2022-03-08 10:29:00,A,2022-03-08 10:29:15.337,0.00,None,67,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
68,colgatesalt Rs10,Rs10 கோல்கட்சால்ட் ,2022-03-08 10:33:00,2022-03-08 10:33:00,A,2022-08-20 17:17:21.017,NULL,,68,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,10.00
69,colgate sald Rs20,Rs20கோல்கேட் சால்ட்,2022-03-08 10:37:00,2022-03-08 10:37:00,A,2022-08-20 15:29:38.637,NULL,,69,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,20.00
70,colgate advance 50g,50gகோல்கேட்advance,2022-03-08 10:43:00,2022-03-08 10:43:00,A,2022-03-08 10:45:24.613,NULL,,70,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
71,golcatesalt 100g,100gகோல்கேட் சால்ட்,2022-03-08 10:47:00,2022-03-08 10:47:00,A,2022-03-08 10:48:20.020,NULL,,71,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
72,colcatesalt 100g,colcatesalt 100g,2022-03-08 10:51:00,2022-03-08 10:51:00,A,2022-03-08 10:50:33.353,0.00,None,72,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
73,colgatesalt 100g,100g கோல்கேட்சால்ட்,2022-03-08 10:51:00,2022-03-08 10:51:00,A,2022-08-20 15:29:48.857,NULL,,73,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,66.00
74,colgate 100g Rs.54,Rs.54 கோல்கேட்100g,2022-03-08 10:55:00,2022-03-08 10:55:00,A,2022-08-18 19:00:29.907,NULL,,74,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,54.00
75,colgate strong 200g Rs.95,200g கோல்கேட் ஸ்ட்ராங் ,2022-03-08 11:00:00,2022-03-08 11:00:00,A,2022-03-08 11:03:56.327,NULL,,75,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
76,dabur red paste Rs10,Rs10 டாபர்ரெட் பேஸ்ட்,2022-03-08 11:07:00,2022-03-08 11:07:00,A,2026-01-29 18:55:18.043,NULL,,76,0,0.00,0,0,0.00,0,0.00,7.50,9.00,1,10.00
77,dabur red paste 50,dabur red paste 50,2022-03-08 11:08:00,2022-03-08 11:08:00,A,2022-03-08 11:09:25.290,NULL,,77,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
78,dabur red paste 50g,50gdabur red paste ,2022-03-08 11:13:00,2022-03-08 11:13:00,A,2022-03-08 11:21:30.163,NULL,,78,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
79,dabur red paste Rs20,Rs20 டாபர்ரெட் பேஸ்ட்,2022-03-08 11:18:00,2022-03-08 11:18:00,A,2026-01-29 19:46:22.017,NULL,,79,0,0.00,0,0,0.00,0,0.00,16.41,18.00,1,20.00
80,dabur red paste 200g,200g டாபர்ரெட் பேஸ்ட்,2022-03-08 11:19:00,2022-03-08 11:19:00,A,2026-01-24 18:54:51.957,NULL,,80,0,0.00,0,0,0.00,0,0.00,133.01,147.00,1,153.00
81,dabur red paste 100g,100g  டாபர்ரெட் பேஸ்ட்,2022-03-08 11:24:00,2022-03-08 11:24:00,A,2024-04-04 21:13:10.030,NULL,,81,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,70.00
82,close up paste10Rs,Rs.10 closeup paste,2022-03-08 11:25:00,2022-03-08 11:25:00,A,2023-11-19 11:13:24.840,NULL,,82,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,10.00
83,close up paste Rs19,Rs19close up paste,2022-03-08 11:25:00,2022-03-08 11:25:00,A,2022-03-08 11:26:34.327,NULL,,83,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
84,close up paste 100g,100g Close up paste ,2022-03-08 11:28:00,2022-03-08 11:28:00,A,2022-03-08 12:54:50.423,NULL,,84,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
85,surf excel soup.10Rs,Rs.10சர்ப் சோப்,2022-03-08 11:30:00,2022-03-08 11:30:00,A,2022-07-29 16:14:02.683,NULL,,85,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,10.00
86,surf excel soap Rs20,Rs20 சர்ப் சோப்,2022-03-08 11:32:00,2022-03-08 11:32:00,A,2023-08-13 11:34:05.767,NULL,,86,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,20.00
87,surf excel soup.10Rs box,surf excel soup.10Rs box,2022-03-08 11:37:00,2022-03-08 11:37:00,A,2022-03-08 11:36:30.170,0.00,None,87,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
88,surf excel soup.32Rs,surf excel soup.32Rs,2022-03-08 11:38:00,2022-03-08 11:38:00,A,2022-03-08 11:38:20.170,0.00,None,88,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
89,surf excel soup Rs10 box,Rs10சர்ப்சோப் பாக்ஸ்,2022-03-08 11:39:00,2022-03-08 11:39:00,A,2022-07-27 19:43:35.867,NULL,,89,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,1400.00
90,surf excel soup.Rs32 box,Rs32சர்ப் சோப் box,2022-03-08 11:41:00,2022-03-08 11:41:00,A,2022-03-08 11:41:47.343,NULL,,90,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
91,surf excel soup Rs32,surf excel soup Rs32,2022-03-08 11:43:00,2022-03-08 11:43:00,A,2022-03-08 11:42:46.033,0.00,None,91,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
92,surf excel soup Rs20,Rs20 சர்ப் சோப்,2022-03-08 11:46:00,2022-03-08 11:46:00,A,2022-06-13 10:57:12.993,NULL,,92,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,20.00
93,surf excel soapRs32,Rs32 சர்ப் சோப்,2022-03-08 11:53:00,2022-03-08 11:53:00,A,2022-08-31 19:10:03.883,NULL,,93,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,32.00
94,surf excel powder Rs.5,Rs.5சர்ப் பவுடர் ,2022-03-08 11:57:00,2022-03-08 11:57:00,A,2022-03-08 12:53:51.650,NULL,,94,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
95,surf excel powder Rs.10,Rs.10 சர்ப் எக்சல் பவுடர்,2022-03-08 12:02:00,2022-03-08 12:02:00,A,2023-10-15 18:27:02.683,NULL,,95,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,10.00
96,sarf excel powder Rs.10 pai,sarf excel powder Rs.10 pai,2022-03-08 12:05:00,2022-03-08 12:05:00,A,2022-03-08 12:05:17.203,0.00,None,96,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
97,surf excel powder Rs.5 pai,Rs.5சர்ப் பவுடர் பை,2022-03-08 12:07:00,2022-03-08 12:07:00,A,2022-03-08 12:08:54.853,NULL,,97,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
98,surf excel powder Rs.10 pai,Rs.10 சர்ப் பவுடர் பை,2022-03-08 12:09:00,2022-03-08 12:09:00,A,2022-03-08 12:10:11.117,NULL,,98,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
99,surf excel easywash powder 500g,500g சர்ப் ஈசிவாஷ்Rs70,2022-03-08 12:18:00,2022-03-08 12:18:00,A,2022-03-08 12:19:49.807,NULL,,99,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
100,surf easywash Rs70 powder 500g,500g சர்ப் ஈசிவாஷ்Rs70,2022-03-08 12:21:00,2022-03-08 12:21:00,A,2022-03-08 12:22:19.307,NULL,,100,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
101, SURF LIQ FL Rs.235, Rs.235 SURF LIQ FL ,2022-03-08 12:25:00,2022-03-08 12:25:00,A,2022-03-08 12:32:27.530,NULL,,101,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
102,Rin soap Rs.10,Rs.10 ரின் சோப்பு,2022-03-08 12:31:00,2022-03-08 12:31:00,A,2026-01-29 20:16:51.710,NULL,,102,0,0.00,0,0,0.00,0,0.00,8.99,9.50,1,10.00
103, SURF LIQ FL Rs.115, SURF LIQ FL Rs.115,2022-03-08 12:34:00,2022-03-08 12:34:00,A,2022-03-08 12:33:46.777,0.00,None,103,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
104,=,=,2022-03-08 12:35:00,2022-03-08 12:35:00,A,2022-03-08 12:34:34.497,0.00,None,104,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
105,==,==,2022-03-08 12:35:00,2022-03-08 12:35:00,A,2022-03-08 12:34:36.107,0.00,None,105,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
106,surf LIQ FL Rs.235,surf LIQ FL Rs.235,2022-03-08 12:36:00,2022-03-08 12:36:00,A,2022-03-08 12:35:37.460,NULL,,106,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
107,surf LIQ FL Rs.115,surf LIQ FL Rs.115,2022-03-08 12:38:00,2022-03-08 12:38:00,A,2022-03-08 12:37:48.463,0.00,None,107,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
108,surf LIQ FL 500ml Rs.115,Rs.115surf LIQ FL 500ml,2022-03-08 12:39:00,2022-03-08 12:39:00,A,2023-04-07 17:54:00.403,NULL,,108,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,130.00
109,surf LIQ FL.1ltr Rs.235,Rs.235surf LIQ FL.1ltr ,2022-03-08 12:43:00,2022-03-08 12:43:00,A,2022-03-08 12:59:14.460,NULL,,109,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
110,Rin soap Rs.20,Rs.20 Rin soap ,2022-03-08 12:49:00,2022-03-08 12:49:00,A,2022-03-08 12:53:24.037,NULL,,110,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
111,Rin soap Rs.20 box,Rin soap Rs.20 box,2022-03-08 12:51:00,2022-03-08 12:51:00,A,2022-03-08 12:50:55.473,0.00,None,111,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
112,Rin soap Rs.18 box,Rs.18 Rin soap box,2022-03-08 12:52:00,2022-03-08 12:52:00,A,2022-03-08 12:53:38.003,NULL,,112,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
113,Rin soap Rs.10 box,Rs.10ரின் சோப்பு box,2022-03-08 12:57:00,2022-03-08 12:57:00,A,2022-12-06 14:17:08.013,NULL,,113,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,720.00
114,Rin powder 500g,500g ரின் பவுடர்,2022-03-08 13:01:00,2022-03-08 13:01:00,A,2023-08-15 16:56:27.033,NULL,,114,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,58.00
115,Rin soap Rs.19,RS.19 ரின் சோப் ,2022-03-08 13:03:00,2022-03-08 13:03:00,A,2022-08-02 15:49:50.307,NULL,,115,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,19.00
116,Rin soap Rs.19 box,Rs.19ரின் சோப்பு box,2022-03-08 13:03:00,2022-03-08 13:03:00,A,2022-08-02 16:07:49.837,NULL,,116,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,1140.00
117,Rin powder Rs.5,Rs.5 ரின் பவுடர்,2022-03-08 13:06:00,2022-03-08 13:06:00,A,2026-01-29 20:26:14.303,NULL,,117,0,0.00,0,0,0.00,0,0.00,4.63,5.00,1,5.00
118,Rin powder 1kg,1kg ரின் பவுடர்,2022-03-08 13:08:00,2022-03-08 13:08:00,A,2023-09-23 21:28:07.643,NULL,,118,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,116.00
119,Rin powder Rs.10,Rs.10 ரின் பவுடர்,2022-03-08 13:10:00,2022-03-08 13:10:00,A,2026-01-29 20:26:38.120,NULL,,119,0,0.00,0,0,0.00,0,0.00,8.78,9.50,1,10.00
120,Rin soap Rs.10 pai,Rin soap Rs.10 pai,2022-03-08 13:12:00,2022-03-08 13:12:00,A,2022-03-08 13:12:19.790,0.00,None,120,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
121,RinpowderRs.10 pai,RinpowderRs.10 pai,2022-03-08 13:13:00,2022-03-08 13:13:00,A,2022-03-08 13:13:22.460,0.00,None,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
