Name,Short_Name,Price
horlicks 200g,200g)ஹோர்லிக்ஸ் jar,114.0
boost Rs.5 saram,RS.5 பூஸ்ட் சரம்,75.0
boost  200g,200gபூஸ்ட் ஜார்,114.0
boost  200g jar,200gபூஸ்ட் jar,114.0
horlicks 200g jar,200g ஹார்லிக்ஸ் jar,105.0
boost 500G JAR,500g பூஸ்ட் ஜார்,240.0
horlicks 500G JAR,500g Horlicks Jar,259.0
horlicks 500G REFIL,500G ஹார்லிக்ஸ் REFIL,260.0
nizam pakku rs.1 pkt,Rs.1 நிஜாம் பாக்கு pkt,250.0
nizam pakku rs.2 pkt,Rs 2 நிஜாம் பாக்கு yellow,250.0
nizam pakku rs.2 pkt=,Rs.2 நிஜாம் பாக்கு BLUE,250.0
nijam pakku rs.2 pkt,Rs.2 நிஜாம் பாக்கு BLUE,200.0
ponds dream Rs.55,50g பாண்ட்ஸ் ட்ரிம்,60.0
nijam pakku rs.1 pkt,Rs.1 நிஜாம் பாக்கு(250) pkt,250.0
ponds dream Rs.105,Rs.105 பாண்ட்ஸ் ட்ரிம்,105.0
nijam pakku.Rs.2 pkt,Rs.2 நிஜாம் பாக்கு YELLOW,200.0
nijam pakku Rs.0.50paisa,Rs.0.50பைசா நிஜாம்பாக்கு50psசின்னpkt,25.0
ponds dream Rs.110,100g பாண்ட்ஸ் ட்ரிம்,110.0
gokul santol Rs.120,Rs.120 கோகுல் சாண்டல்,120.0
ponds dream Rs.210,Rs.210 பாண்ட்ஸ் ட்ரிம்,210.0
gokul santol 140g,140g கோகுல் சாண்டல்,120.0
gokul santol 70g,70g கோகுல் சாண்டல்,70.0
pands dreams Rs.10,Rs.10 பாண்ட்ஸ் ட்ரிம்,10.0
ponds sandal Rs.132,Rs.132 போன்ஸ் சண்டெல்,132.0
ponds sandal Rs.65,Rs.65போன்ஸ் சாண்டல்,65.0
super max blade(5)box,சூப்பர் மேக்ஸ் ப்ளேடு(5),120.0
viputhi 25g,25g விபூதி,5.0
sivappu Rs.2,Rs.2 சிகரம் சிவப்பு,2.0
sivappu gopuram kunkumam 40g,40g  கோபுர குங்குமம்,12.0
sivappu merun 40g,40g மெருன் கோ.குங்குமம்,18.0
dettol bottle 50ml,50ml டெட்டால்,33.27
complan refill 500g,காம்ப்ளான் refill 500g,289.0
complan jar 500g,500g jar காம்ப்ளான்,315.0
dettol bottle 250ml,250ml டெட்டால்,154.59
daalta 50g,50g டால்டா,15.0
ujala Rs.10,Rs.10 உஜாலா,10.0
daalta 100g,100g டால்டா,30.0
ujala Rs.25,Rs.25 உஜாலா,32.0
daalta 1kg,1kg டால்டா,300.0
ujala Rs.70,Rs.70 உஜாலா,70.0
z talc powder 50g,50g z talc பவுடர் red,75.0
z talc powder 100g,100g z talc பவுடர் red,145.0
vellam seepam 30kg,30kgவெல்லம் சீப்பம்,1600.0
oil sas 1lit,1ltr.SAS ஆயில்,160.0
oil sas 1lit pkt,ஆயில் SAS 1lit pkt,180.0
oil sas 1.lit box,1ltr SAS ஆயில்box,1700.0
oil kanapathi 1.ltr box,1.ltr கணபதி பாக்ஸ்,1800.0
oil kanapathi 500ml box,500ml கணபதி பாக்ஸ்,1800.0
goodKnight LIQ 1pcs,குட் நைட் LIQ  (GF),85.0
vaththi set black Rs.12,Rs.12 செட் ப்ளாக் வத்தி,12.0
vaththi set black Rs.5,Rs.5 செட் ப்ளாக் வத்தி,5.0
goodKnight LIQ 30PCS,30PCS குட்நைட் LIQ  ,2310.0
vaththi set black Rs.60,Rs.60 செட் ப்ளாக் வத்தி,60.0
amurthanjan Rs.38,Rs.38 அமுர்தான்ஜன்,38.0
allout LIQ 1pcs,1pcs ஆல்அவுட் LIQ,69.0
FEVIQUICK Rs.5,Rs.5 பெவிகுயிக் ,5.0
 B.R.I. rice sippam, B.R.I. கோல்ட் சிப்பம்,2000.0
EXO steelscurb box,EXO கம்பி அட்டை,180.0
kopiko jar ,Rs.1 கோபிகோ சாக்லேட் jar,230.0
colgate brush Rs.20,Rs.20 கோல்கட் பிரஷ்,20.0
oral b brush Rs.20,Rs.20 Oral-B பிரஷ் சரம் ,220.0
colgate brush Rs.20 1pcs,Rs.20 கோல்கட் பிரஷ் 1pcs,20.0
colgate brush Rs.20 saram,Rs.18 கோல்கட் பிரஷ் சரம் (f),198.0
oral b brush Rs.20 SARAM,ORAL B பிரஷ்Rs.20 SARAM,240.0
dabur amla hair.oil 275ml ,275ml dabur amla ஆயில் ,138.0
colgate brush Rs.30,Rs.30 கோல்கட் பிரஷ் சரம்,270.0
dabur amla hair.oil 180ml,180ml டாபர் அம்லா ஆயில்,105.0
dabur amla hair.oil 110ml,110ml dabur amla ஆயில்,52.0
aswini  100g,100g அஸ்வினி ஆயில்,76.0
aswini 180ml,180ML அஸ்வினி ஆயில்,146.0
aswini  100ml,100ml அஸ்வினி ஆயில்,76.0
vatika 90ml,90ml VATIKA RS.45,45.0
vatika 150ML, RS.97 vatika 150ML,97.0
vasmol hair oil 50ml,50ml vasmol hair oil ,35.0
vasmol hair oil 100ml,100ml vasmol hair oil ,48.0
boomer box,boomer box,150.0
candles box,மெழுகு வத்தி பாக்ஸ்,50.0
perumkayam lg 50G,50gLGகட்டிபெரும்காயம்,78.0
Fair & lovely 25g,25g Fair & lovely,70.0
Fair & lovely 25g box ,Fair & lovely 25g box ,62.0
Fair & lovely 9g,9g Fair & lovely ,10.0
perumkaya powder lg 50g,50g LGகாயத்தூள்,92.0
perumkayam aachi powder ,ஆச்சி பெ.காயம் பவுடர்,79.0
Fair & lovely Rs.20,Rs.20 Fair & lovely ,20.0
perumkayam ptc 50g,50g ptc கட்டிபெ.காயம்,60.0
inji poondu paste Rs.5,Rs.5 இஞ்சி பூண்டு பேஸ்ட்,5.0
kallaparappu ,கல்லபருப்பு,100.0
b r i (gold) rice,b r i (gold) சிப்பம்,2000.0
boost 500g.box,500g.boost box,244.0
boost 200g jar,200g பூஸ்ட் ஜார்,110.0
oil sekku ma.ennai 1/2ltr,1/2ltr செக்கு ம.எண்ணெய்,125.0
oil sekku vilakku ennaie1/2ltr,1/2ltrசெக்கு வி.எண்ணெய்,120.0
oil sekku vilakku ennai.1.ltr bottle,1.ltr செக்கு .வி.எண்ணெய்bottle,230.0
hamam soap Rs.10 box,ஹமாம் Rs.10 box,2880.0
cinthol soap Rs.10,cinthol soap Rs.10,10.0
cinthol lime soap Rs.10,Rs.10சிந்தால் லைம் சோப்,10.0
hamam 100g soap Rs.34,100g ஹமாம்.Rs.34,34.0
lifebuoy soap Rs.33,Rs.33 லைபாய் சோப்,33.0
lux soap white Rs.33,Rs.33லக்ஸ் white சோப்,33.0
cinthol soap Rs.40,Rs.40சிந்தால் சோப்,40.0
chandrika soap Rs.28,Rs.28 சந்திரிகா சோப்,28.0
rexona soap,rexona soap,38.0
mysore soap Rs.40,Rs.40 மைசூர் சோப்,40.0
liril soap,லிரில் சோப்பு,36.0
pears Rs.50 blue,Rs.50பியர்ஸ் நீலம்,50.0
dove soap Rs.30,Rs.30 டவ் சோப்,30.0
dove soap Rs.57,Rs.57டவ் சோப்பு,57.0
pears soap gold,பியர்ஸ்soap gold,49.0
pears soap green,பியர்ஸ் soap கிரீன்,54.0
vadavam 800gm pkt,800g வடவம் pkt,160.0
vadavam 100g pkt,100g வடவம்pkt,200.0
milk biscuit Rs.10 box,Rs.10 மில்க் பிஸ்கட் பாக்ஸ்,1200.0
milk biscuit Rs.5 box,Rs.5மில்க்பிஸ்கட் பாக்ஸ்,900.0
milk biscuit Rs.10 (12pcs),Rs.10 மில்க் பிஸ்கட் டசன் ,120.0
bourbon Rs.5(12ps),Rs.5போர்பன்(1பை),60.0
milk biscuit Rs.5 (30pcs),Rs.5 மில்க் பிஸ்கட் (1பை),150.0
50-50 biscuit Rs.10,Rs.10 50-50 பிஸ்கட்,10.0
50-50 biscuit Rs.10 (12pcs),Rs.10 50-50பிஸ்கட் டசன்,120.0
50-50 biscuit Rs.5(12ps),Rs.5 50-50 பிஸ்கட் (பை),60.0
tiger cream biscuit Rs.5,Rs.5 டைகர் கிரீம் பிஸ்கட் ,5.0
50-50 biscuit Rs.5,50-50 biscuit Rs.5,5.0
milk biscuit Rs.10,Rs.10 மில்க் பிஸ்கட்,10.0
milk biscuit Rs.5,Rs.5 மில்க் பிஸ்கட் ,5.0
bourbon Rs.5,bourbon  Rs.5,5.0
bourbon Rs.10,ரூ.10 போர்பன்,10.0
bourbon Rs.20,bourbon Rs.20,20.0
bourbon Rs.20 (12pcs),bourbon Rs.20 (12pcs),240.0
milk biscuit Rs.28,Rs.28 மில்க் பிஸ்கட்,28.0
nature power soap sandal,நேச்சர் பவர் சேண்டல்,40.0
nature power soap lime,Rs.40நேச்சர் பவர்.சோ லைம்,40.0
nature power soap lavendel,நேச்சர் பவர்.சோ. lavendel,40.0
sls karuppu,sls கருப்பு சிப்பம்,1900.0
sls torget sippam,sls டார்கெட் சிப்பம்,1900.0
VVD gold coco.oil 500ml,500ml VVD gold jar,210.0
VVD gold coco.oil 250ml,250ml VVD gold,105.0
VVD gold coco.oil 100ml,100ml VVD தே.எண்ணெய் jar,60.0
VVD gold coco.oil Rs.10 (1case),Rs.10 VVD gold case (15pcs),150.0
VVD gold coco.oil Rs.10,Rs.10 vvd தே.எண்ணெய்,10.0
VVD gold coco.oil Rs.10 1pcs,VVD gold coco.oil Rs.10 1pcs,10.0
marie gold Rs.28,Rs.28 மேரி கோல்ட் ,28.0
marie gold Rs.10 ,Rs.10 மேரி கோல்ட்,10.0
good day Rs.5,Rs.5 குட்டே,5.0
gooday Rs.10,Rs.10 குட் டே,10.0
good day Rs.5 (12pcs),Rs.5 குட்டே  பை,60.0
gooday Rs.10 box,Rs.10 குட்டே box,800.0
good day Rs.20,Rs.20 குட்டே,20.0
good day Rs.5 box,Rs.5குட்டே box,1000.0
marie gold Rs.5,Rs.5 மேரி கோல்ட் ,5.0
marie gold Rs.5 (12pcs),Rs.5 மேரி கோல்ட் பை (12pcs),60.0
marie gold Rs.5 BOX,Rs.5 மேரி கோல்ட்BOX,800.0
happy happy Rs.5box,happy happy Rs.5box,720.0
ponni kalla mavu 1/2 kg,பொன்னி க.மாவு1/2 kg,45.0
happy happy Rs.5 12PCS,Rs.5ஹேப்பி ஹேப்பி 1பை,120.0
happy happy Rs.5 24PCS,Rs.5 ஹேப்பி ஹேப்பி பை,120.0
munthri ,முந்திரி,900.0
arasan soap Rs.13,Rs.13 அரசன் சோப்,13.0
power soap Rs.10,Rs.10பவர் சோப்பு,10.0
power soap Rs.10 box,Rs.10பவர் சோப்புbox,600.0
karthicka sampoo Rs.1,Rs.1கார்த்திகா சரம்shampoo,20.0
chik egg white Rs.1 ,Rs.1 சிகஂ எஃகு ஒயஂடஂ சாமஂபு,1.0
sunsilk shampoo Rs.1,Rs.1 சன் சில்க் ஷாம்பூ,1.0
head & shoulder Rs.2,Rs.2 head & shoulder ,2.0
meera shampoo Rs.3,Rs.3மீரா ஷாம்பூ சரம்,48.0
karthika seekkai Rs.2,Rs.2.கார்த்திகா சீயக்காய் சரம்,40.0
dove shampoo Rs.2.saram,Rs.2.டவ் சரம்,32.0
pantene shampoo Rs.2,Rs.2 PANTENE சாம்பு,2.0
head & shoulder Rs.4,head & shoulder Rs.4,4.0
parachute bottle 175ml,175ml பாராசூட் Rs.70,70.0
sapina powder,சபீனா பவுடர்,15.0
salt uppu thool,1kg ஐங்கரன் தூள் உப்பு,22.0
salt kal uppu,கல் உப்பு,19.0
yippee noodles Rs.12,Rs.12 yippee noodles ,14.0
yippee noodles Rs.24,Rs.24 yippee noodles ,24.0
yippee noodles Rs.48,Rs.48 yippee noodles ,48.0
maggi noodles Rs.12,Rs.12 maggi noodles ,12.0
maggi noodles Rs.24,Rs.24 maggi noodles ,24.0
clinic+ sampoo Rs.1,Rs.1 கிளினிக்+ சாம்பு,1.0
maggi noodles Rs.72,Rs.72 maggi noodles ,72.0
harpic red 500ml,500ml ஹார்பிக் சிகப்பு,105.0
harpic red 200ml,200ml ஹார்பிக் சிகப்பு,58.0
meeraa seekkaie Rs.4,Rs.4மீரா சிக்காய் சரம்,60.0
lizol sandol 500ml,500ml லைசால் sandol ,98.0
lizol lavender 500ml,lizol lavender 500ml,103.0
lizol neam 500ml,500ml லைசால் neam,103.0
lizol lime 500ml,500ml லைசால் lime,103.0
lizol floral 200ml,200ml லைசால் floral,42.0
lizol lime 200ml,200ml லைசால் lime,40.0
lizol lime 975ml,975ml லைசால் lime ,196.0
lizol neem 200ml,200ml லைசால் neem,40.0
peruciragam ,பெருஞ்சீரகம்,180.0
sakkarai 1kg,சக்கரை 1kg,50.0
soodam 1pack,soodam 1pack,25.0
theepam yennaie 1/2ltr,தீபம் எண்ணெய் 1/2ltr,110.0
vaththi Rs 20,Rs.20 வத்தி ,20.0
arasan soap Rs20,Rs.20 அரசன் சோப்பு,20.0
saffola oats 1kg,1kg saffola oats with free 1/2kg,230.0
arial RS.10 PAI,Rs.10 ஏரியல் பவுடர் ,10.0
maggi noodles Rs.44,Rs.44மேகி நூடல்ஸ்,44.0
arial RS.10 ,RS.10 ஏரியல் பவுடர்,10.0
arial 500g,500g ஏரியல் பவுடர்,140.0
milagu thul 50g,50g மிளகு தூள்,65.0
sambar podi 50g,50g சக்தி சாம்பார் பொடி,33.0
milagai thool 500g,500gமிளகாய்தூள்,275.0
yippee noodles Rs.72,Rs.72 yippee noodles ,72.0
comport Rs.4 sarm,Rs.4 comport சரம்,40.0
all clear Rs.1.50 saram,Rs.1.5 all clearசரம்,24.0
maithaa anil 500g,500g அணில் மைதா pkt,42.0
head & shoulder Rs.4 saram,Rs.4 head & shoulderசரம்,64.0
pantene shampoo Rs.2 saram,Rs.2 pantene shampoo சரம்,32.0
karthika seekkai Rs.2 saram,Rs.2 karthika seekkaiசரம்,40.0
anil samba ravai,500g அணில் சம்பா ரவை,88.0
anil semiya 1.pkt,1.pkt அணில் சேமியா,20.0
nutri choice Rs.25,Rs.25 நியுற்றி சாய்ஸ்,25.0
5 star chcoclate 1pcs,5 star chcoclate 1pcs,5.0
kitkat Rs.10 1pcs,kitkat Rs.10 1pcs,10.0
vaththi Rs35,vaththi Rs35,35.0
cinthol lime soap Rs.10 12pcs,Rs.10சி.லைம்.சோ 12pcs,120.0
j.attar,ஜே.அத்தர்,40.0
varshini samrani cup Rs.72,Rs.72 வர்ஷினி சாம்ராணி கப்,72.0
samrani varshini cup Rs.72,Rs.72 வர்ஷினி சாம்ராணி,72.0
kasthuri manjal.50g,50g கஸ்துரி மஞ்சள் ,35.0
samrani T.P.R.G  Rs.20,Rs.20 TPRGசாம்ராணி ,20.0
samBrani T.P.R.G  Rs.20,Rs.20 TPRG சாம்ப்ராணி,20.0
sambrani varshini cup Rs.72,Rs.72 வர்ஷினி சாம்ராணி,72.0
sambrani TPRG Rs.20,Rs.20 சாம்ப்ராணி TPRG,20.0
kasthuri manjal.100g,100g கஸ்துரி மஞ்சள்,56.0
samBrani mangaldeep cup ,மங்கல்தீப் கப் சாம்பராணி,72.0
samBrani mangaldeep ,Rs.15 ம.தீப்.சாம்ராணி,15.0
vaththi Rs.5,Rs.5 வத்தி,5.0
sambrani Thool TPRG 50g,சாம்ராணி தூள்TPRG 50G,38.0
goldwinner 1.ltr ,goldwinner 1.ltr ,190.0
sambarani katti TPRG,சாம்ப்ராணி கட்டிTPRG,28.0
meera shampoo Rs.2,meera shampoo Rs.2,2.0
happy happy Rs.10(12pcs),Rs.10 ஹாப்பி.ஹா(12pcs),120.0
melody choc RS.50,Rs.50 மெலோடி சாக்லேட்,50.0
melody choco RS.100,RS.100 மெலோடி pkt,100.0
colgatesalt lemon 200g,200g கோல்கேட் லெமன்,110.0
colgatesalt lemon 100g,Rs.88 கோல்கேட் லெமன்,88.0
nature power soap rose,நேச்சர் பவர்.சோ ரோஸ்,45.0
nature power papaya,நேச்சர் சோ.பப்பையா,45.0
colgate strong teeth 100g,100g கோல்கேட் ஸ்ட்ராங்,63.0
colgate strong 200g ,200g கோல்கேட் ஸ்ட்ராங்,120.0
chilli sauce 1.pkt (100pcs),சில்லிசாஸ் 1.பை(100pcs),200.0
tomato sauce 1.pkt (100pcs),டொமாடோ சாஸ்(100ps),200.0
vinegar 650 ml,650 ml வினிகர்,35.0
achi payasam mix 200g (1+1),1+1 ஆச்சிபாயசம் 200g,85.0
achi payasam mix 100g (1+1),1+1 ஆச்சி பாயசம் 100g,50.0
kinder joy boys Rs.45,Rs.45 கிண்டர் ஜாய்,45.0
colgate maxfresh 150g(cool.cry),150g colgate (maxfresh),101.0
colgates powder 50g,50g கோல்கேட் பவுடர்,25.0
colgate 100g powder,colgate100g powder,55.0
colgate maxfresh 70g,80g colgate (maxfresh ),63.0
colgate gum expert+ 80g,80g colgate gumexpert+,150.0
colgate vedshakti Rs.20,ரூ.20 கோல்கேட் வேதசக்தி,20.0
colgate salt neem 200g,200g கோல்கேட் நீமஂ சாலஂடஂ,140.0
colgate vedshakti 200g,200g colgate vedshakti ,105.0
colgate maxfresh Rs.20,Rs.20 Colgate Maxfresh,20.0
seeval nice Rs.10 bundle,Rs10நைஸ் சீவல்(b),100.0
seeval nice Rs.5.bundle,Rs.5 நைஸ்சீவல்(b),100.0
seeval satha Rs.10 bandal,Rs.10 சாதா சீவல் (b),100.0
badham 1kg,1.kg பாதாம்,700.0
pepsodent rs10 saram,Rs10pepsodent.சரம்,120.0
pattani 1.kg ,மஞ்ச பட்டாணி 1.kg,150.0
pepsodent rs10,Rs.10 pepsondent ,10.0
pepsodent rs20 saram,Rs20pepsodentசரம்,20.0
pattai 1.kg,pattai 1.kg,380.0
kp namboodiri Rs20(bx), Rs20(bx)kp namboodiri,240.0
kp namboodiri 150g,150g kp நம்புதிரி பேஸ்ட்,90.0
pepsodent 100g, 100g pepsodent,52.0
dairymilk Rs40,Rs40 டைரிமில்க்,40.0
dairymilk Rs40 (1box),Rs40டைரிமில்க்(1box),1200.0
dairymilk Rs10,Rs10 டைரிமில்க்,10.0
dairymilk Rs10(box),dairymilk Rs10(box),720.0
Five star Rs10,Five star Rs10,10.0
Five star Rs10(box),Five star Rs10(box),400.0
lashmi gold blue,லஷ்மிகோல்ட்blue,1000.0
himalaya baby (p) 200g,200g ஹிமாலயா பேபி பவுடர்,150.0
himalaya baby (p) 100g,100g himalaya powder,80.0
himalaya baby (p)50g,50g ஹிமாலயா பேபி பவுடர்,40.0
himalaya soap Rs.50,Rs.50 himalaya soap,50.0
himalaya soap Rs.75,Rs.75 himalaya soap ,75.0
jonsons powder 50g, 50g jonsons powder,42.0
johnsons powder 100g,100g johnsons powder,125.0
johsons powder 50g,50g johsons powder,42.0
johnsons soap 50g,50g johnsons soap,42.0
johnsons soap 75g ,75g Johnsons Blue soap,68.0
bru Rs.2 saram,Rs.2 bru சரம்,24.0
sunrice Rs.5,Rs.5 சன் ரைஸ்,5.0
bru Rs.5 saram,Rs.5 bru சரம்,75.0
bru Rs.5,Rs.5 புரூ காபி தூள் ,5.0
bru Rs.5 (1pai),bru Rs.5 (1பை),300.0
sunrice Rs.5 pai,Rs.5 sunrice பை,120.0
bru Rs.10 saram,bru Rs.10சரம்,120.0
bru Rs.10,Rs.10 புரூ காபி தூள்,10.0
bru Rs.10 (1பை),bru Rs.10 (1பை),120.0
sunrice Rs.2 pai,Rs.2 sunrice ,2.0
sunrice 200g,200g சன் ரைஸ் pkt,173.0
sunrice 1kg,சன்ரைஸ்1kg,820.0
sunrice 50g jar,sunrice 50g jar,115.0
sunrice 50g (pkt),50g சன் ரைஸ் (pkt),110.0
sunrice Rs.10,Rs.10 sunrice ,10.0
chakra gold 100g,100g சக்ரா கோல்டு,80.0
chakra gold 250g,250g சக்ரா கோல்டு,207.0
chakra gold 250g jar ,250g சக்ரா கோல்டு jar,225.0
chakra gold 100g jar,100g சக்ரா கோல்டு jar,95.0
avt 1.kg,1.kg avt,300.0
chakra gold nc 100g,100g சக்ரா கோல்டு nc PCS,100.0
chakra gold nc 250g,250g சக்ரா கோல்டு NC,170.0
3roses Rs.2 saram,Rs.2 3roses saram,20.0
bri (gold) rice,bri (gold) rice,60.0
bri (gold) sippam,bri கோல்ட் சிப்பம்,2000.0
3roses Rs.5 saram,3roses Rs.5சரம்,30.0
3roses Rs.5(1pai),3roses Rs.5(1பை),120.0
3roses Rs.10,3 ரோசஸ் Rs.10,10.0
3roses Rs.10 saram,3roses Rs.10சரம்,80.0
3roses Rs.10(1பை),3roses Rs.10(1பை),240.0
3roses 50g,3 ரோசஸ் 50g,45.0
3roses 100g,3roses 100g,95.0
3roses 250g,250g 3ரோசேஸ்,225.0
3roses nc 100g,3 ரோசஸ் nc 100g,95.0
3roses nc 250g,3 ரோசஸ் NC 250g,245.0
oil deepam Rs.20,Rs.20 deepam oil,20.0
oil sas nallennai 100ml,100ml sas nallennai,16.0
anil atta,அணில் ஆட்டா,30.0
oil vvd coconut 500ml,500ml vvd coconut oil,145.0
anil atta 500g,500g அணில் ஆட்டா,41.0
meera coco oil Rs.1,Rs.1 meera coco oil ,1.0
meera coco oil Rs.1 saram,Rs.1 meera coco சரம்,40.0
oil gems.gold(sf) 1.ltr,1.ltr ஜெம்ஸ் கோல்டு  (sf),223.0
oil gems.gold 500ml,500ml gems.gold,83.0
oil idhayam nallannai(100ml),100ml இதயம் (ந.எ) pkt,45.0
